rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
1208|633.532679213328|365|Genesis Kami #365|Lead fire fairy|Red wand|White|Red grievous|Gold lord|Gold double ring right 1|Smile with teeth|Bandage nose|Purple kpop 1|Black baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/365
1209|633.4701731198963|3375|Genesis Kami #3375|Coin sakura|Katana 1|White|White strained|Blue biker jacket|Black feather|Smile|Houtai cheek|Black japan bangs|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3375
1210|633.4460229912479|4620|Genesis Kami #4620|Porpoise fire fairy|None|White|Green gangsta|Black gakuran|Gold double ring right 1|Mild smile|Bandage cheek & nose|White shonen|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4620
1211|633.2053645395599|1773|Genesis Kami #1773|Colud blue kaminari|Katana 1|White|Red vampire|White gold pimp|White feather|Black rose|Black pirate eyepatch|White harajuku|Angry mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1773
1212|632.6469040689242|431|Genesis Kami #431|Porpoise earth fairy|Berserker blade|White|Gray demon|Purple wizard|Silver ring 3|Pink gum|Red opera kamen|Mint long hair|Silver sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/431
1213|632.644099244551|5157|Genesis Kami #5157|Cyberpunk system|Silver berserker|Gray|Red aggressive|Purple cyberpunk suit|Silver double ring right 1|Blue gum|Black opera kamen|Purple ikemen|Gold red imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5157
1214|632.638650038369|1278|Genesis Kami #1278|Porpoise fire fairy|Gray scythe|White|Gray demon|Red turtle|Silver chain|Smile|Gold opera kamen|Brownish orange oppa|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1278
1215|632.6283927120925|2415|Genesis Kami #2415|Porpoise forest fairy|Purple wand|Cream|Yellow gangsta|Blue fur|Silver ring 3|Blue gum|Bandage cheek|Purple ikemen|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2415
1216|632.6201567839813|4351|Genesis Kami #4351|Fossil blue fire ghost|Brush|Cream|Purple satan|White shirt|Silver triple ring right|Black rose|None|Brownish orange harajuku|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4351
1217|632.4120457435273|1263|Genesis Kami #1263|Porpoise forest fairy|None|White|White gangsta|Red bondage|Yellow fan|Angry|Danzo mekakushi houtai|Red ikemen|Brownish orange cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1263
1218|632.3632421764278|4129|Genesis Kami #4129|Porpoise earth fairy|Katana 1|Black|Red cold|White ronin|Purple white fluffy|Blue rose|Mekakushi houtai|Black harajuku|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4129
1219|632.3378782918912|1680|Genesis Kami #1680|Slate red fire ghost|Silver berserker|White|White cold|Red lord|Gold chain|Blue rose|Blue cyberpunk glasses|Black shonen|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1680
1220|632.0934220473217|440|Genesis Kami #440|Pink sakura|Purple wand|Cream|Black grievous|Red biker jacket|Gold ring 2|Rose|Red mekakushi|White shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/440
1221|631.8678151158173|2392|Genesis Kami #2392|Shadow|Red wand|Cream|Purple angry eyes|Purple cape|Silver ring 1|Mild smile|Houtai cheek & nose|Brown kpop 1|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2392
1222|631.8068838856501|3032|Genesis Kami #3032|Blush|Gray scythe|Cream|Green aggressive|Red lord|Silver feather|Angry|None|Black wuxia|Horror mask|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3032
1223|631.7568744600026|2150|Genesis Kami #2150|Umber|Berserker blade|Titanium|Red demon|Blue gangster suit|None|Green gum|Red opera kamen|Purple disheveled|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2150
1224|631.7411673624703|1281|Genesis Kami #1281|Seaweed|Silver buster sword|Titanium|Yellow aggressive|White fur|Silver ring 1|Smile|Red opera kamen|Gray oppa|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1281
1225|631.7182345474602|2574|Genesis Kami #2574|Spruce blue kiminari|None|Gray|White strained|Purple onmyoji|White feather|Pink gum|Rimless|Gold ikemen|Brownish orange cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2574
1226|631.5165724708064|2089|Genesis Kami #2089|Blush|Katana 2|White|Sky blue grievous|Black red kimono|Silver double ring right 1|Rose|Black pirate eyepatch|Gray kpop 1|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2089
1227|631.4625275055148|4775|Genesis Kami #4775|Hickory|None|Brown|Red vampire|White cape|Gold spear|Smile with teeth|Black demon mask|Gray harajuku|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4775
1228|631.245152501629|4685|Genesis Kami #4685|Flint|Red scythe|Cream|Yellow determined|Black gold clown|Silver double ring right 2|Mild smile|Red cyberpunk glasses|Black kpop 1|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4685
1229|631.1442509904828|3677|Genesis Kami #3677|Lavender|None|White|Pink strained|Black silver pimp|Gold dot|Smile with teeth|Blue cyberpunk glasses|Black long hair|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3677
1230|630.48613624263|2449|Genesis Kami #2449|Immortal black god feather aura|Katana 1|White|Purple good boy|Black white purple kimono|Gold fan|Rose|None|Purple nippon|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2449
1231|630.2622803630761|3062|Genesis Kami #3062|Spruce blue kiminari|Silver buster sword|Gray|Purple determined|Black turtle|Gold double ring right 1|Neutral|Gold opera kamen|Purple nippon|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3062
1232|630.2048401695425|4808|Genesis Kami #4808|Porpoise forest fairy|None|Gray|Black angry eyes|Gray fur|Silver four ring right|Angry|Bandage cheek|Brownish orange under cut|Angry mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4808
1233|629.8641545096144|1452|Genesis Kami #1452|Mahogany|Shikigami|Black|Sky blue determined|Purple ninja|Silver ring 1|Neutral|Houtai cheek & nose|Red wuxia|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1452
1234|629.8105188549434|3647|Genesis Kami #3647|Porpoise white purple|None|Cream|Purple grievous|White black kimono|Yellow fan|Pink gum|Houtai cheek left|Gold nippon|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3647
1235|629.7869492096032|4889|Genesis Kami #4889|Blizzard|Purple scythe|White|Pink gentle|Red wizard|Silver ring 1|Smile|Houtai nose|Purple wuxia|Gold minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4889
1236|629.7482717332649|61|Genesis Kami #61|Porpoise earth fairy|Berserker blade|Cream|Purple satan|Yellow priest|Silver spear|Smile|Houtai both cheek|Red madara|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/61
1237|629.4447205155436|4400|Genesis Kami #4400|Lead forest fairy|None|White|Sky blue good boy|Black hood|Gold double ring right 2|Blue rose|Houtai nose|Brown long hair|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4400
1238|629.2983392762147|2586|Genesis Kami #2586|Lead fire fairy|Shikigami|Cream|Gray demon|White red kimono|Gold fan|Black rose|None|Black disheveled|Brownish orange kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2586
1239|629.1789069161883|1806|Genesis Kami #1806|Pewter|Katana 2|White|Purple angry eyes|Red black kimono|None|Smirk|Black pirate eyepatch|Gray kpop 1|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1806
1240|629.1364506899722|2843|Genesis Kami #2843|Porpoise water fairy|Katana 1|Cream|Black vampire|Red bondage|None|Cigar|Mekakushi houtai|Red kpop 1|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2843
1241|629.1001029455323|1563|Genesis Kami #1563|Slate blue fire ghost|Gold berserker|White|Yellow gangsta|Red lord|Silver double long right|Neutral|Black danzo mekakushi|Brownish orange under cut|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1563
1242|628.8030597309621|2105|Genesis Kami #2105|Sky|Katana 1|White|Sky blue gentle|Fawn biker jacket|Gold short long|Smile with teeth|Megane|Gray ikemen|White kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2105
1243|628.8018751648893|323|Genesis Kami #323|Porpoise earth fairy|Brush|White|Red angry eyes|Purple turtle|Gold dot|Haha|Black pirate eyepatch|Brown disheveled|Sadly mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/323
1244|628.7633321072371|1478|Genesis Kami #1478|Seaweed|None|Black|Sky blue satan|White fur|Silver ring 1|Gritted|None|Red wuxia|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1478
1245|628.7018353685078|3939|Genesis Kami #3939|Olive|None|White|Purple determined|Yellow onmyoji|Silver ring 3|Haha|Mommy mask|Mint shonen|Bamboohat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3939
1246|628.6884700641237|1930|Genesis Kami #1930|Flint|None|Black|Sky blue angry eyes|Black gold pimp|Gold ring 2|Rose|Red mekakushi|Red madara|Sadly mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1930
1247|628.6096145840146|5381|Genesis Kami #5381|Cyberpunk system|Gray scythe|Cream|Purple cold|White gakuran|Sky blue feather|Blue rose|Gold opera kamen|Brown shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5381
1248|628.5094397049761|2165|Genesis Kami #2165|Porpoise|Purple wand|Black|Black angry eyes|White cape|Silver four ring right|Smile|Red opera kamen|Brownish orange under cut|Black baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2165
1249|628.5086153548533|3283|Genesis Kami #3283|Lavender|Spear|White|Green strained|White red kimono|Gold short long|Smile|White demon mask|Black cornrow braids|Black baby dragon|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3283
1250|628.4757623122861|4580|Genesis Kami #4580|Flint black purple thunder|None|Black|Sky blue good boy|Yellow onmyoji|Red white fluffy|Black rose|Doctor glasses|Red shonen|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4580
1251|628.4681038397093|3711|Genesis Kami #3711|Mahogany|Spear|White|Pink determined|White gakuran|Silver double ring right 1|Haha|Blue sunglasses|White nippon|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3711
1252|628.3117617739778|2283|Genesis Kami #2283|Sky|Berserker blade|Titanium|Yellow grievous|Red onmyoji|Black white fluffy|Haha|Round glasses small|Mint cornrow braids|Angel ring|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2283
1253|628.2315088341171|3664|Genesis Kami #3664|Oat maple leaf|None|Cream|Red satan|Gray binbo|White skull|Angry|Round glasses big|White oppa|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3664
1254|628.2028958363068|4571|Genesis Kami #4571|Pewter|Berserker blade|White|Black cold|Red gakuran|Gold ring 2|Smirk|Black demon mask|Brownish orange under cut|Sadly mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4571
1255|628.1883345075718|2431|Genesis Kami #2431|Lavender|Red wand|Brown|Pink determined|Purple lord|Gold feather|Smile with teeth|Green cyberpunk glasses|Black madara|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2431
1256|628.0738066705364|4776|Genesis Kami #4776|Blizzard|None|White|Purple strained|Purple ninja|White black fluffy|Knife|Red mekakushi|Mint long hair|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4776
1257|628.0534503419265|3591|Genesis Kami #3591|Immortal coin dark feather aura|Purple scythe|Brown|Black grievous|White silver pimp|Silver skull|Smirk|Doctor glasses|White shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3591
1258|628.006947732039|3127|Genesis Kami #3127|Fossil purple fire ghost|Gold berserker|Cream|Purple grievous|Red lord|White feather|Purple rose|Bandage nose|Gray japan bangs|Black devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3127
1259|627.6816002853893|2736|Genesis Kami #2736|Sky|Katana 1|Gray|Sky blue cold|Purple ninja|Purple white fluffy|Smile with teeth|Houtai cheek left|Red harajuku|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2736
1260|627.5190453676498|1198|Genesis Kami #1198|Porpoise water fairy|Gold buster sword|Titanium|Sky blue gentle|Red fur|Gold double ring right 1|Blue gum|Black opera kamen|Gold slick hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1198
1261|627.3803693546872|4384|Genesis Kami #4384|Porpoise|Katana 1|Brown|Green gangsta|White fur|Sky blue feather|Blue gum|Bandage cheek & nose|Brown long hair|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4384
1262|627.354783770852|4530|Genesis Kami #4530|Sandstone maple leaf|None|White|Green cold|Black gangster suit|Silver spear|Green gum|Houtai nose|Purple slick hair|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4530
1263|627.3101172864261|3216|Genesis Kami #3216|Pine|Red wand|Cream|Sky blue angry eyes|Black cape|Silver ring 2|Gritted|Black mekakushi|Red kpop 1|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3216
1264|627.2301455845757|173|Genesis Kami #173|Lavender|None|Cream|Red cold|Blue fur|Silver double ring right 1|Mild smile|Rimless|Gold cornrow braids|Black baby dragon|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/173
1265|627.1433736626138|1390|Genesis Kami #1390|Pewter|Berserker blade|Cream|White grievous|Red fur|Gold ring 2|Cigar|White opera kamen|Brownish orange cornrow braids|Silver sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1390
1266|627.0611047630283|1039|Genesis Kami #1039|Oat|Purple scythe|White|Red grievous|Orange cyberpunk suit|White feather|Smirk|Black danzo mekakushi|Purple under cut|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1039
1267|627.044944904929|3347|Genesis Kami #3347|Hickory|Spear|Black|Sky blue strained|Gold kimono|Black gold kss hanafuda|Neutral|Houtai both cheek|Mint harajuku|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3347
1268|627.0078575337129|1797|Genesis Kami #1797|Coin sakura|None|Brown|Yellow good boy|Black onmyoji|Black gold kss hanafuda|Smile with teeth|Doctor glasses|Brownish orange long hair|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1797
1269|626.9923904469863|4391|Genesis Kami #4391|Olive|Silver buster sword|Gray|White grievous|Brown turtle|Gold triple ring right|Purple rose|None|Red wuxia|Angel ring|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4391
1270|626.9569296668769|4383|Genesis Kami #4383|Oat|None|Brown|Sky blue aggressive|Purple gakuran|Sky blue feather|Mild smile|Mekakushi houtai|Black japan bangs|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4383
1271|626.8778222292841|4806|Genesis Kami #4806|Fossil blue fire ghost|Berserker blade|White|Sky blue gentle|Gold kimono|White skull|Purple rose|Houtai both cheek|White under cut|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4806
1272|626.8776560459318|1129|Genesis Kami #1129|Sandstone|Gold buster sword|Cream|Green good boy|Black turtle|Gold chain|Blue gum|White opera kamen|Brown under cut|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1129
1273|626.8411186928503|2216|Genesis Kami #2216|Mahogany|Spear|Brown|Sky blue satan|Black gold samurai|Gold dot|Smile with teeth|Black kamen|Brown ikemen|White baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2216
1274|626.7897035235862|1819|Genesis Kami #1819|Shadow|None|White|Pink good boy|Black gangster suit|Black spear|Angry|Bandage cheek & nose|Purple cornrow braids|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1819
1275|626.6989163035606|1531|Genesis Kami #1531|Cyberpunk system|Spear|Black|Red gentle|Blue fur|Sky blue feather|Smirk|Bandage nose|Brownish orange nippon|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1531
1276|626.6796537446029|1857|Genesis Kami #1857|Sandstone|None|Brown|Sky blue strained|Red hood|Silver spear|Cigar|Blue sunglasses|Brownish orange harajuku|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1857
1277|626.5480244141894|3518|Genesis Kami #3518|Porpoise fire fairy|Purple scythe|White|Purple cold|Black shirt|Silver spear|Smile with teeth|Blue sunglasses|Brownish orange disheveled|Horror mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3518
1278|626.5136978802882|4803|Genesis Kami #4803|Porpoise|Silver buster sword|White|Green demon|Purple black hood|Gold double ring right 1|Gritted|Doctor glasses|Gold ikemen|Rad devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4803
1279|626.4114260542909|1331|Genesis Kami #1331|Pistachio fresh leaves|None|Cream|Black cold|Black gold pimp|Silver four ring right|Smile|Houtai nose|Black slick hair|Angry mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1331
1280|626.3837945737|2148|Genesis Kami #2148|Immortal coin dark feather aura|Katana 2|White|Sky blue determined|Black white purple kimono|Red feather|Smile|Houtai cheek & nose|Red slick hair|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2148
1281|626.1397415817382|979|Genesis Kami #979|Seaweed|None|Cream|Sky blue good boy|Red turtle|Silver spear|White rose|Round glasses big|Red kpop 1|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/979
1282|626.125444426799|3528|Genesis Kami #3528|Silver|Berserker blade|White|White strained|Purple black hood|Silver chain|Smile|Blue sunglasses|Gold shonen|Silver sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3528
1283|626.1032101216855|4112|Genesis Kami #4112|Lead forest fairy|None|White|Gray demon|Gray binbo|Purple black fluffy|Smile with teeth|Houtai all|Brown long hair|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4112
1284|626.0957094555022|3458|Genesis Kami #3458|Slate red fire ghost|Purple wand|White|Yellow strained|White father|Gold dot|Rose|Round glasses big|Purple cornrow braids|Silver sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3458
1285|626.0265770513029|4830|Genesis Kami #4830|Porpoise earth fairy|None|Brown|White strained|Blue priest|Nippon hanafuda|Smile with teeth|Houtai nose|Black shonen|Brownish orange kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4830
1286|625.836782196063|4779|Genesis Kami #4779|Fossil purple fire ghost|None|Brown|Black gentle|Red gakuran|Black feather|Haha|Mekakushi houtai|Gray oppa|Gray baby cat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4779
1287|625.8320254277706|1639|Genesis Kami #1639|Fossil red fire ghost|Katana 1|White|Red vampire|Blue priest|Silver double ring right 1|Knife|None|Gold under cut|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1639
1288|625.7309110721274|3702|Genesis Kami #3702|Sky|Purple wand|Cream|Sky blue angry eyes|Black gakuran|Gold double long right|Gritted|Black opera kamen|Gray disheveled|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3702
1289|625.6874654357272|3160|Genesis Kami #3160|Red fire|None|Gray|Green determined|Purple turtle|Silver chain|Gritted|Bandage cheek|Red long hair|White kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3160
1290|625.5397686332183|2681|Genesis Kami #2681|Porpoise forest fairy|None|Titanium|Red grievous|White father|Gold spear|Smile with teeth|Black mekakushi|White wuxia|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2681
1291|625.5158000601832|4916|Genesis Kami #4916|Sandstone|Gold buster sword|Cream|White grievous|White gakuran|Gold spear|Mild smile|None|Black wuxia|White kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4916
